City,Value,ValueFaux,y
Jolynn,-1000,35.0891756968536,0
Rana,31.8524367180928,-1000,0
Jackelyn,36.0580716824878,-1000,0
Thia,21.6520129380649,-1000,0
Kinna,23.2215068899413,-1000,0
Laverne,25.3215644833595,-1000,0
Merilee,21.9181768214868,-1000,0
Ted,24.5473378820168,-1000,0
Anstice,34.1716542723016,-1000,0
Giselle,16.7564614924659,-1000,0
Brandise,40.8695669978366,-1000,0
Enriqueta,33.3930867621364,-1000,0
Chantal,28.7415422464449,-1000,0
Shay,27.6520758172334,-1000,0
Dulcia,42.2722276015476,-1000,0
Lisha,42.9746867552252,-1000,0
Pooh,16.1476059394354,-1000,0
Zea,30.4307058422989,-1000,0
Auria,39.4671679119564,-1000,0
Viviyan,33.855853548463,-1000,0
Alayne,43.0889954695813,-1000,0
Tiffie,25.5224405491966,-1000,0
Sandye,25.3515513110905,-1000,0
Faunie,23.9423138779483,-1000,0
Marquita,29.1692869211451,-1000,0
Vivian,28.7753943068662,-1000,0
Kiersten,24.9195113537945,-1000,0
Ebony,23.607079633464,-1000,0
Claresta,45.2669961955941,-1000,0
Fiann,19.9201198716198,-1000,0
Tawnya,20.6522709510682,-1000,0
Maurizia,34.9289932020118,-1000,0
Joeann,17.5805794160071,-1000,0
Valli,28.3442650649886,-1000,0
Garland,29.9122634654315,-1000,0
Roslyn,28.7099856461783,-1000,0
George,28.5954250062308,-1000,0
Binnie,21.9049873934555,-1000,0
Willamina,23.4143044351608,-1000,0
Florentia,31.0030044007225,-1000,0
Michal,63.0326562745204,-1000,0
Ulrikaumeko,34.6486615906743,-1000,0
Marlo,6.85442743316941,-1000,0
Brook,36.4154790400034,-1000,0
Aeriel,26.4777655594235,-1000,0
Pauli,50.1640283730603,-1000,0
Iona,15.8803067078051,-1000,0
Nelia,24.2473656717374,-1000,0
Paule,6.48675394064892,-1000,0
Collie,36.1479829983703,-1000,0
Marla,34.5586553631043,-1000,0
Shannon,45.5500089085713,-1000,0
Amelia,17.2607261618277,-1000,0
Sheba,18.4395503924279,-1000,0
Lu,40.6174705372929,-1000,0
Gwen,24.2533127387492,-1000,0
Dre,15.4851084258773,-1000,0
Cassandry,21.8208342149991,-1000,0
Bennie,17.4741735081408,-1000,0
Abby,10.8862594046961,-1000,0
Bobbe,24.305607149451,-1000,0
Madalyn,24.8145618677554,-1000,0
Arlyne,27.9568503416117,-1000,0
Lucina,44.4100903066634,-1000,0
Emmalee,10.7973791668655,-1000,0
Electra,22.9817963189551,-1000,0
Rozina,42.8280786998318,-1000,0
Rosemary,21.7712458891048,-1000,0
Milly,30.71588281106,-1000,0
Cleopatra,40.3671705689778,-1000,0
Pansy,44.3244312626381,-1000,0
Suzanna,41.1140103945921,-1000,0
Corliss,31.6694633350689,-1000,0
Constance,23.5324031824962,-1000,0
Gerti,28.8523627074289,-1000,0
Karla,30.8223686584936,-1000,0
Wanda,37.4684071062585,-1000,0
Blanca,29.2817406506321,-1000,0
Carmelle,22.6573683591398,-1000,0
Kaitlynn,29.6080175603482,-1000,0
Row,25.4928250766813,-1000,0
Anestassia,36.8369261125187,-1000,0
Fleur,46.2488964548447,-1000,0
Jewelle,32.6748576965072,-1000,0
Charline,20.7779686562086,-1000,0
Timmi,25.3610409553966,-1000,0
Murial,11.7091167524252,-1000,0
Imogene,16.5194847707211,-1000,0
Meggy,32.96458350804,-1000,0
Nicoli,25.517800134855,-1000,0
Jerrilee,35.3414580514146,-1000,0
Ginevra,46.2954581095429,-1000,0
Raychel,29.0137960393484,-1000,0
Gabriela,30.337666942622,-1000,0
Robinetta,26.1973937763204,-1000,0
Veda,34.4762794455412,-1000,0
Kattie,31.9549514900039,-1000,0
Rozanne,28.8697745712057,-1000,0
Atlante,40.0536505678067,-1000,0
Josefina,19.2873400322565,-1000,0
