City,Value,ValueFaux,y
Jolynn,-1000,53.479974786751,0
Rana,65.9637404372916,-1000,0
Jackelyn,5.20743918605149,-1000,0
Thia,15.4695529490709,-1000,0
Kinna,81.1672829091549,-1000,0
Laverne,17.4001165898517,-1000,0
Merilee,92.3904102528468,-1000,0
Ted,45.289970189333,-1000,0
Anstice,13.2226170506328,-1000,0
Giselle,34.4091145554557,-1000,0
Brandise,46.0930340224877,-1000,0
Enriqueta,67.9219948826358,-1000,0
Chantal,61.3979652291164,-1000,0
Shay,68.265260127373,-1000,0
Dulcia,17.5636134343222,-1000,0
Lisha,92.3484022729099,-1000,0
Pooh,87.7637777710334,-1000,0
Zea,97.6791734341532,-1000,0
Auria,44.0994079457596,-1000,0
Viviyan,35.6402928940952,-1000,0
Alayne,50.2899714047089,-1000,0
Tiffie,91.8156449683011,-1000,0
Sandye,3.72867605183274,-1000,0
Faunie,99.6512149693444,-1000,0
Marquita,15.5103714205325,-1000,0
Vivian,14.6838044282049,-1000,0
Kiersten,5.76601743232459,-1000,0
Ebony,15.3693141415715,-1000,0
Claresta,20.0206329813227,-1000,0
Fiann,69.0825233701617,-1000,0
Tawnya,52.3386919405311,-1000,0
Maurizia,83.3051215158775,-1000,0
Joeann,45.3174787806347,-1000,0
Valli,45.5954759614542,-1000,0
Garland,40.8278521848843,-1000,0
Roslyn,27.5421366095543,-1000,0
George,41.4620846975595,-1000,0
Binnie,77.5450384244323,-1000,0
Willamina,51.3085379032418,-1000,0
Florentia,87.3650609282777,-1000,0
Michal,13.454079371877,-1000,0
Ulrikaumeko,84.4599781790748,-1000,0
Marlo,76.8742026761174,-1000,0
Brook,89.5413037156686,-1000,0
Aeriel,85.920933377929,-1000,0
Pauli,23.7392097013071,-1000,0
Iona,3.33744992967695,-1000,0
Nelia,45.4066943377256,-1000,0
Paule,58.3024117862806,-1000,0
Collie,67.880985676311,-1000,0
Marla,2.31626834720373,-1000,0
Shannon,35.9524952014908,-1000,0
Amelia,91.8201174354181,-1000,0
Sheba,94.0528612351045,-1000,0
Lu,36.896840389818,-1000,0
Gwen,15.6460915924981,-1000,0
Dre,83.5382655030116,-1000,0
Cassandry,14.112092461437,-1000,0
Bennie,37.908421526663,-1000,0
Abby,1.62478880956769,-1000,0
Bobbe,48.4536765608937,-1000,0
Madalyn,59.1859714360908,-1000,0
Arlyne,92.509822989814,-1000,0
Lucina,48.8343528471887,-1000,0
Emmalee,14.9881945224479,-1000,0
Electra,98.4784475062042,-1000,0
Rozina,9.2978322179988,-1000,0
Rosemary,85.7380919391289,-1000,0
Milly,60.7873118715361,-1000,0
Cleopatra,10.7596482150257,-1000,0
Pansy,97.5250891875476,-1000,0
Suzanna,59.1023673303425,-1000,0
Corliss,93.2797303888947,-1000,0
Constance,2.01671300455928,-1000,0
Gerti,72.9740818263963,-1000,0
Karla,74.8445690143853,-1000,0
Wanda,37.8534299554303,-1000,0
Blanca,1.43639538437128,-1000,0
Carmelle,33.6196329211816,-1000,0
Kaitlynn,49.6572503587231,-1000,0
Row,87.9663362866268,-1000,0
Anestassia,95.635609747842,-1000,0
Fleur,22.6128130918369,-1000,0
Jewelle,83.3486497169361,-1000,0
Charline,80.8677499648184,-1000,0
Timmi,97.3887501517311,-1000,0
Murial,59.871333045885,-1000,0
Imogene,65.9789863741025,-1000,0
Meggy,36.19636206422,-1000,0
Nicoli,28.4067795844749,-1000,0
Jerrilee,2.30457931756973,-1000,0
Ginevra,76.4319372130558,-1000,0
Raychel,91.1855571204796,-1000,0
Gabriela,5.07235080003738,-1000,0
Robinetta,88.0791791481897,-1000,0
Veda,44.3387564271688,-1000,0
Kattie,78.2295826356858,-1000,0
Rozanne,47.7513496531174,-1000,0
Atlante,82.7826551161706,-1000,0
Josefina,52.1100228419527,-1000,0
