City,Value,ValueFaux,y
Aarika,70,-1000,0
Abagael,87,-1000,0
Abagail,35,-1000,0
Abbe,60,-1000,0
Abbey,83,-1000,0
Abbi,48,-1000,0
Abbie,32,-1000,0
Abby,91,-1000,0
Abbye,11,-1000,0
Abigael,83,-1000,0
Abigail,68,-1000,0
Abigale,38,-1000,0
Abra,21,-1000,0
Ada,95,-1000,0
Adah,21,-1000,0
Adaline,94,-1000,0
Adan,51,-1000,0
Adara,21,-1000,0
Adda,3,-1000,0
Addi,36,-1000,0
Addia,81,-1000,0
Addie,70,-1000,0
Addy,7,-1000,0
Adel,28,-1000,0
Adela,65,-1000,0
Adelaida,55,-1000,0
Adelaide,32,-1000,0
Adele,87,-1000,0
Adelheid,13,-1000,0
Adelice,49,-1000,0
Adelina,37,-1000,0
Adelind,79,-1000,0
Adeline,88,-1000,0
Adella,79,-1000,0
Adelle,37,-1000,0
Adena,12,-1000,0
Adey,47,-1000,0
Adi,17,-1000,0
Adiana,24,-1000,0
Adina,37,-1000,0
Adora,83,-1000,0
Adore,58,-1000,0
Adoree,75,-1000,0
Adorne,29,-1000,0
Adrea,8,-1000,0
Adria,10,-1000,0
Adriaens,5,-1000,0
Adrian,67,-1000,0
Adriana,14,-1000,0
Adriane,36,-1000,0
Adrianna,69,-1000,0
Adrianne,86,-1000,0
Adriena,12,-1000,0
Adrienne,20,-1000,0
Aeriel,45,-1000,0
Aeriela,55,-1000,0
Aeriell,52,-1000,0
Afton,41,-1000,0
Ag,35,-1000,0
Agace,47,-1000,0
Agata,21,-1000,0
Agatha,49,-1000,0
Agathe,15,-1000,0
Aggi,17,-1000,0
Aggie,24,-1000,0
Aggy,23,-1000,0
Agna,53,-1000,0
Agnella,74,-1000,0
Agnes,97,-1000,0
Agnese,88,-1000,0
Agnesse,80,-1000,0
Agneta,0,-1000,0
Agnola,57,-1000,0
Agretha,66,-1000,0
Aida,67,-1000,0
Aidan,51,-1000,0
Aigneis,10,-1000,0
Aila,54,-1000,0
Aile,81,-1000,0
Ailee,17,-1000,0
Aileen,73,-1000,0
Ailene,64,-1000,0
Ailey,72,-1000,0
Aili,17,-1000,0
Ailina,13,-1000,0
Ailis,51,-1000,0
Ailsun,22,-1000,0
Ailyn,56,-1000,0
Aime,87,-1000,0
Aimee,89,-1000,0
Aimil,77,-1000,0
Aindrea,43,-1000,0
Ainslee,62,-1000,0
Ainsley,59,-1000,0
Ainslie,40,-1000,0
Ajay,31,-1000,0
Alaine,36,-1000,0
Alameda,32,-1000,0
Alana,77,-1000,0
Alanah,83,-1000,0
Alane,20,-1000,0
Alanna,37,-1000,0
Alayne,85,-1000,0
Alberta,2,-1000,0
Albertina,46,-1000,0
Albertine,34,-1000,0
Albina,13,-1000,0
Alecia,94,-1000,0
Aleda,82,-1000,0
Aleece,24,-1000,0
Aleen,74,-1000,0
Alejandra,6,-1000,0
Alejandrina,24,-1000,0
Alena,87,-1000,0
Alene,5,-1000,0
Alessandra,11,-1000,0
Aleta,11,-1000,0
Alethea,31,-1000,0
Alex,15,-1000,0
Alexa,35,-1000,0
Alexandra,95,-1000,0
Alexandrina,97,-1000,0
Alexi,20,-1000,0
