City,Value,ValueFaux,y
Aarika,40,-1000,0
Abagael,3,-1000,0
Abagail,36,-1000,0
Abbe,83,-1000,0
Abbey,10,-1000,0
Abbi,56,-1000,0
Abbie,49,-1000,0
Abby,74,-1000,0
Abbye,84,-1000,0
Abigael,74,-1000,0
Abigail,74,-1000,0
Abigale,70,-1000,0
Abra,24,-1000,0
Ada,3,-1000,0
Adah,86,-1000,0
Adaline,4,-1000,0
Adan,92,-1000,0
Adara,79,-1000,0
Adda,22,-1000,0
Addi,23,-1000,0
Addia,90,-1000,0
Addie,74,-1000,0
Addy,30,-1000,0
Adel,10,-1000,0
Adela,9,-1000,0
Adelaida,73,-1000,0
Adelaide,26,-1000,0
Adele,93,-1000,0
Adelheid,38,-1000,0
Adelice,5,-1000,0
Adelina,84,-1000,0
Adelind,94,-1000,0
Adeline,69,-1000,0
Adella,47,-1000,0
Adelle,98,-1000,0
Adena,94,-1000,0
Adey,24,-1000,0
Adi,64,-1000,0
Adiana,18,-1000,0
Adina,63,-1000,0
Adora,22,-1000,0
Adore,47,-1000,0
Adoree,35,-1000,0
Adorne,5,-1000,0
Adrea,59,-1000,0
Adria,35,-1000,0
Adriaens,35,-1000,0
Adrian,50,-1000,0
Adriana,92,-1000,0
Adriane,11,-1000,0
Adrianna,35,-1000,0
Adrianne,90,-1000,0
Adriena,48,-1000,0
Adrienne,12,-1000,0
Aeriel,22,-1000,0
Aeriela,69,-1000,0
Aeriell,59,-1000,0
Afton,96,-1000,0
Ag,82,-1000,0
Agace,38,-1000,0
Agata,46,-1000,0
Agatha,33,-1000,0
Agathe,31,-1000,0
Aggi,21,-1000,0
Aggie,18,-1000,0
Aggy,66,-1000,0
Agna,0,-1000,0
Agnella,85,-1000,0
Agnes,75,-1000,0
Agnese,85,-1000,0
Agnesse,50,-1000,0
Agneta,45,-1000,0
Agnola,44,-1000,0
Agretha,39,-1000,0
Aida,30,-1000,0
Aidan,89,-1000,0
Aigneis,24,-1000,0
Aila,19,-1000,0
Aile,3,-1000,0
Ailee,31,-1000,0
Aileen,62,-1000,0
Ailene,81,-1000,0
Ailey,18,-1000,0
Aili,9,-1000,0
Ailina,74,-1000,0
Ailis,28,-1000,0
Ailsun,89,-1000,0
Ailyn,0,-1000,0
Aime,32,-1000,0
Aimee,26,-1000,0
Aimil,96,-1000,0
Aindrea,50,-1000,0
Ainslee,36,-1000,0
Ainsley,77,-1000,0
Ainslie,26,-1000,0
Ajay,12,-1000,0
Alaine,98,-1000,0
Alameda,33,-1000,0
Alana,39,-1000,0
Alanah,18,-1000,0
Alane,5,-1000,0
Alanna,78,-1000,0
Alayne,61,-1000,0
Alberta,63,-1000,0
Albertina,31,-1000,0
Albertine,64,-1000,0
Albina,68,-1000,0
Alecia,78,-1000,0
Aleda,6,-1000,0
Aleece,16,-1000,0
Aleen,23,-1000,0
Alejandra,47,-1000,0
Alejandrina,45,-1000,0
Alena,92,-1000,0
Alene,19,-1000,0
Alessandra,12,-1000,0
Aleta,6,-1000,0
Alethea,77,-1000,0
Alex,0,-1000,0
Alexa,77,-1000,0
Alexandra,32,-1000,0
Alexandrina,80,-1000,0
Alexi,45,-1000,0
Alexia,23,-1000,0
Alexina,40,-1000,0
Alexine,16,-1000,0
Alexis,33,-1000,0
Alfi,11,-1000,0
Alfie,75,-1000,0
Alfreda,1,-1000,0
Alfy,1,-1000,0
Ali,48,-1000,0
Alia,26,-1000,0
Alica,90,-1000,0
Alice,84,-1000,0
Alicea,13,-1000,0
Alicia,49,-1000,0
Alida,41,-1000,0
Alidia,35,-1000,0
Alie,5,-1000,0
Alika,77,-1000,0
Alikee,16,-1000,0
Alina,77,-1000,0
Aline,88,-1000,0
Alis,37,-1000,0
Alisa,70,-1000,0
Alisha,46,-1000,0
Alison,70,-1000,0
Alissa,99,-1000,0
Alisun,77,-1000,0
Alix,95,-1000,0
Aliza,7,-1000,0
Alla,77,-1000,0
Alleen,27,-1000,0
Allegra,38,-1000,0
Allene,99,-1000,0
Alli,63,-1000,0
Allianora,89,-1000,0
Allie,53,-1000,0
Allina,96,-1000,0
Allis,14,-1000,0
Allison,24,-1000,0
Allissa,28,-1000,0
Allix,52,-1000,0
Allsun,92,-1000,0
Allx,12,-1000,0
Ally,65,-1000,0
Allyce,79,-1000,0
Allyn,15,-1000,0
Allys,76,-1000,0
Allyson,2,-1000,0
Alma,40,-1000,0
Almeda,67,-1000,0
Almeria,3,-1000,0
Almeta,80,-1000,0
Almira,28,-1000,0
Almire,72,-1000,0
Aloise,89,-1000,0
Aloisia,19,-1000,0
Aloysia,83,-1000,0
Alta,30,-1000,0
Althea,92,-1000,0
Alvera,65,-1000,0
Alverta,11,-1000,0
Alvina,73,-1000,0
Alvinia,44,-1000,0
Alvira,59,-1000,0
Alyce,11,-1000,0
Alyda,51,-1000,0
Alys,12,-1000,0
Alysa,52,-1000,0
Alyse,80,-1000,0
Alysia,9,-1000,0
Alyson,43,-1000,0
Alyss,8,-1000,0
Alyssa,41,-1000,0
Amabel,1,-1000,0
Amabelle,73,-1000,0
Amalea,56,-1000,0
Amalee,55,-1000,0
Amaleta,99,-1000,0
Amalia,23,-1000,0
Amalie,1,-1000,0
Amalita,29,-1000,0
Amalle,23,-1000,0
Amanda,39,-1000,0
Amandi,24,-1000,0
Amandie,27,-1000,0
Amandy,56,-1000,0
Amara,12,-1000,0
Amargo,44,-1000,0
Amata,54,-1000,0
Amber,53,-1000,0
Amberly,31,-1000,0
Ambur,9,-1000,0
Ame,60,-1000,0
Amelia,91,-1000,0
Amelie,59,-1000,0
Amelina,3,-1000,0
Ameline,86,-1000,0
Amelita,61,-1000,0
Ami,26,-1000,0
Amie,47,-1000,0
Amii,66,-1000,0
Amil,81,-1000,0
Amitie,82,-1000,0
Amity,83,-1000,0
Ammamaria,62,-1000,0
Amy,47,-1000,0
Amye,94,-1000,0
Ana,63,-1000,0
