City.Aaren,Value,ValueFaux,y
Aarika,78,-1000,0
Abagael,78,-1000,0
Abagail,78,-1000,0
Abbe,78,-1000,0
Abbey,78,-1000,0
Abbi,78,-1000,0
Abbie,78,-1000,0
Abby,78,-1000,0
Abbye,78,-1000,0
Abigael,78,-1000,0
Abigail,78,-1000,0
Abigale,78,-1000,0
Abra,78,-1000,0
Ada,78,-1000,0
Adah,78,-1000,0
Adaline,78,-1000,0
Adan,78,-1000,0
Adara,78,-1000,0
Adda,78,-1000,0
Addi,78,-1000,0
Addia,78,-1000,0
Addie,78,-1000,0
Addy,78,-1000,0
Adel,78,-1000,0
Adela,78,-1000,0
Adelaida,78,-1000,0
Adelaide,78,-1000,0
Adele,78,-1000,0
Adelheid,78,-1000,0
Adelice,78,-1000,0
Adelina,78,-1000,0
Adelind,78,-1000,0
Adeline,78,-1000,0
Adella,78,-1000,0
Adelle,78,-1000,0
Adena,78,-1000,0
Adey,78,-1000,0
Adi,78,-1000,0
Adiana,78,-1000,0
Adina,78,-1000,0
Adora,78,-1000,0
Adore,78,-1000,0
Adoree,78,-1000,0
Adorne,78,-1000,0
Adrea,78,-1000,0
Adria,78,-1000,0
Adriaens,78,-1000,0
Adrian,78,-1000,0
Adriana,78,-1000,0
Adriane,78,-1000,0
Adrianna,78,-1000,0
Adrianne,78,-1000,0
Adriena,78,-1000,0
Adrienne,78,-1000,0
Aeriel,78,-1000,0
Aeriela,78,-1000,0
Aeriell,78,-1000,0
Afton,78,-1000,0
Ag,78,-1000,0
Agace,78,-1000,0
Agata,78,-1000,0
Agatha,78,-1000,0
Agathe,78,-1000,0
Aggi,78,-1000,0
Aggie,78,-1000,0
Aggy,78,-1000,0
Agna,78,-1000,0
Agnella,78,-1000,0
Agnes,78,-1000,0
Agnese,78,-1000,0
Agnesse,78,-1000,0
Agneta,78,-1000,0
Agnola,78,-1000,0
Agretha,78,-1000,0
Aida,78,-1000,0
Aidan,78,-1000,0
Aigneis,78,-1000,0
Aila,78,-1000,0
Aile,78,-1000,0
Ailee,78,-1000,0
Aileen,78,-1000,0
Ailene,78,-1000,0
Ailey,78,-1000,0
Aili,78,-1000,0
Ailina,78,-1000,0
Ailis,78,-1000,0
Ailsun,78,-1000,0
