City,Value,ValueFaux,y
Jolynn,-1000,87,0
Rana,18,-1000,0
Jackelyn,38,-1000,0
Thia,67,-1000,0
Kinna,16,-1000,0
Laverne,97,-1000,0
Merilee,13,-1000,0
Ted,78,-1000,0
Anstice,63,-1000,0
Giselle,72,-1000,0
Brandise,86,-1000,0
Enriqueta,2,-1000,0
Chantal,13,-1000,0
Shay,89,-1000,0
Dulcia,64,-1000,0
Lisha,79,-1000,0
Pooh,59,-1000,0
Zea,54,-1000,0
Auria,20,-1000,0
Viviyan,6,-1000,0
Alayne,57,-1000,0
Tiffie,63,-1000,0
Sandye,22,-1000,0
Faunie,87,-1000,0
Marquita,24,-1000,0
Vivian,0,-1000,0
Kiersten,41,-1000,0
Ebony,12,-1000,0
Claresta,23,-1000,0
Fiann,85,-1000,0
Tawnya,34,-1000,0
Maurizia,74,-1000,0
Joeann,80,-1000,0
Valli,53,-1000,0
Garland,19,-1000,0
Roslyn,84,-1000,0
George,6,-1000,0
Binnie,10,-1000,0
Willamina,37,-1000,0
Florentia,90,-1000,0
Michal,1,-1000,0
Ulrikaumeko,76,-1000,0
Marlo,64,-1000,0
Brook,11,-1000,0
Aeriel,2,-1000,0
Pauli,93,-1000,0
Iona,74,-1000,0
Nelia,81,-1000,0
Paule,48,-1000,0
Collie,66,-1000,0
Marla,73,-1000,0
Shannon,92,-1000,0
Amelia,45,-1000,0
Sheba,28,-1000,0
Lu,62,-1000,0
Gwen,95,-1000,0
Dre,5,-1000,0
Cassandry,67,-1000,0
Bennie,11,-1000,0
Abby,49,-1000,0
Bobbe,39,-1000,0
Madalyn,52,-1000,0
Arlyne,51,-1000,0
Lucina,79,-1000,0
Emmalee,50,-1000,0
Electra,14,-1000,0
Rozina,6,-1000,0
Rosemary,6,-1000,0
Milly,20,-1000,0
Cleopatra,81,-1000,0
Pansy,91,-1000,0
Suzanna,76,-1000,0
Corliss,78,-1000,0
Constance,80,-1000,0
Gerti,35,-1000,0
Karla,20,-1000,0
Wanda,62,-1000,0
Blanca,39,-1000,0
Carmelle,16,-1000,0
Kaitlynn,44,-1000,0
Row,43,-1000,0
Anestassia,27,-1000,0
Fleur,39,-1000,0
Jewelle,1,-1000,0
Charline,32,-1000,0
Timmi,63,-1000,0
Murial,2,-1000,0
Imogene,42,-1000,0
Meggy,80,-1000,0
Nicoli,24,-1000,0
Jerrilee,80,-1000,0
Ginevra,24,-1000,0
Raychel,26,-1000,0
Gabriela,11,-1000,0
Robinetta,28,-1000,0
Veda,5,-1000,0
Kattie,53,-1000,0
Rozanne,8,-1000,0
Atlante,33,-1000,0
Josefina,14,-1000,0
